Date : 2023-04-07 21:58:56
Directory : g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald
Total : 2340 files,  873017 codes, 16175 comments, 87796 blanks, all 976988 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge2\scripts.inc                     | Poryasm      |        314 |          0 |         56 |        370 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge3\map.json                        | JSON         |         94 |          0 |          1 |         95 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge3\scripts.inc                     | Poryasm      |        399 |          0 |         70 |        469 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge4\map.json                        | JSON         |         68 |          0 |          1 |         69 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge4\scripts.inc                     | Poryasm      |         23 |          0 |          8 |         31 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge5\map.json                        | JSON         |         88 |          0 |          1 |         89 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge5\scripts.inc                     | Poryasm      |        168 |          0 |         36 |        204 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge6\map.json                        | JSON         |         42 |          0 |          1 |         43 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge6\scripts.inc                     | Poryasm      |         68 |          0 |         10 |         78 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge7\map.json                        | JSON         |         81 |          0 |          1 |         82 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge7\scripts.inc                     | Poryasm      |        412 |          0 |         68 |        480 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge8\map.json                        | JSON         |         68 |          0 |          1 |         69 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge8\scripts.inc                     | Poryasm      |         38 |          0 |          8 |         46 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge9\map.json                        | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Lounge9\scripts.inc                     | Poryasm      |          2 |          0 |          2 |          4 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Mart\map.json                           | JSON         |         88 |          0 |          1 |         89 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_Mart\scripts.inc                        | Poryasm      |         59 |          0 |         11 |         70 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_OutsideEast\map.json                    | JSON         |        529 |          0 |          1 |        530 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_OutsideEast\scripts.inc                 | Poryasm      |        366 |          0 |         74 |        440 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_OutsideWest\map.json                    | JSON         |        458 |          0 |          1 |        459 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_OutsideWest\scripts.inc                 | Poryasm      |        438 |          0 |         89 |        527 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_PokemonCenter_1F\map.json               | JSON         |        108 |          0 |          1 |        109 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_PokemonCenter_1F\scripts.inc            | Poryasm      |         49 |          0 |         13 |         62 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_PokemonCenter_2F\map.json               | JSON         |         95 |          0 |          1 |         96 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_PokemonCenter_2F\scripts.inc            | Poryasm      |         16 |          0 |          5 |         21 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_RankingHall\map.json                    | JSON         |        172 |          0 |          1 |        173 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_RankingHall\scripts.inc                 | Poryasm      |        109 |          0 |         26 |        135 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_ReceptionGate\map.json                  | JSON         |        101 |          0 |          1 |        102 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_ReceptionGate\scripts.inc               | Poryasm      |        438 |          0 |         73 |        511 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_ScottsHouse\map.json                    | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_ScottsHouse\scripts.inc                 | Poryasm      |        303 |          0 |         47 |        350 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare01\map.json                         | JSON         |        112 |          0 |          1 |        113 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare01\scripts.inc                      | Poryasm      |          2 |          0 |          1 |          3 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare02\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare03\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare04\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare05\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare06\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare07\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare08\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare09\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare10\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare11\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare12\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare13\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare14\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare15\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattlePyramidSquare16\map.json                         | JSON         |        113 |          0 |          1 |        114 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BirthIsland_Exterior\map.json                          | JSON         |         55 |          0 |          1 |         56 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BirthIsland_Exterior\scripts.inc                       | Poryasm      |        104 |          0 |         17 |        121 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BirthIsland_Harbor\map.json                            | JSON         |         55 |          0 |          1 |         56 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BirthIsland_Harbor\scripts.inc                         | Poryasm      |         25 |          0 |          5 |         30 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\CaveOfOrigin_1F\map.json                               | JSON         |         35 |          0 |          1 |         36 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\CaveOfOrigin_1F\scripts.inc                            | Poryasm      |          6 |          0 |          2 |          8 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\CaveOfOrigin_B1F\map.json                              | JSON         |         42 |          0 |          1 |         43 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\CaveOfOrigin_B1F\scripts.inc                           | Poryasm      |        106 |          0 |         15 |        121 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\CaveOfOrigin_Entrance\map.json                         | JSON         |         35 |          0 |          1 |         36 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\CaveOfOrigin_Entrance\scripts.inc                      | Poryasm      |          6 |          0 |          3 |          9 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\CaveOfOrigin_UnusedRubySapphireMap1\map.json           | JSON         |         35 |          0 |          1 |         36 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\CaveOfOrigin_UnusedRubySapphireMap1\scripts.inc        | Poryasm      |          6 |          0 |          2 |          8 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\CaveOfOrigin_UnusedRubySapphireMap2\map.json           | JSON         |         35 |          0 |          1 |         36 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\CaveOfOrigin_UnusedRubySapphireMap2\scripts.inc        | Poryasm      |          6 |          0 |          3 |          9 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\CaveOfOrigin_UnusedRubySapphireMap3\map.json           | JSON         |         35 |          0 |          1 |         36 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\CaveOfOrigin_UnusedRubySapphireMap3\scripts.inc        | Poryasm      |          6 |          0 |          3 |          9 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\ContestHallBeauty\map.json                             | JSON         |         18 |          0 |          1 |         19 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\ContestHallCool\map.json                               | JSON         |         18 |          0 |          1 |         19 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\ContestHallCute\map.json                               | JSON         |         18 |          0 |          1 |         19 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\ContestHallSmart\map.json                              | JSON         |         18 |          0 |          1 |         19 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\ContestHallTough\map.json                              | JSON         |         18 |          0 |          1 |         19 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\ContestHall\map.json                                   | JSON         |        216 |          0 |          1 |        217 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\ContestHall\scripts.inc                                | Poryasm      |        378 |          0 |         73 |        451 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DesertRuins\map.json                                   | JSON         |         81 |          0 |          1 |         82 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DesertRuins\scripts.inc                                | Poryasm      |         73 |          0 |         14 |         87 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DesertUnderpass\map.json                               | JSON         |         42 |          0 |          1 |         43 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DesertUnderpass\scripts.inc                            | Poryasm      |         30 |          0 |          9 |         39 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DewfordTown\map.json                                   | JSON         |        174 |          0 |          1 |        175 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DewfordTown\scripts.inc                                | Poryasm      |        739 |          0 |         64 |        803 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DewfordTown_Gym\map.json                               | JSON         |        173 |          0 |          1 |        174 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DewfordTown_Gym\scripts.inc                            | Poryasm      |        383 |          0 |         77 |        460 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DewfordTown_Hall\map.json                              | JSON         |        170 |          0 |          1 |        171 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DewfordTown_Hall\scripts.inc                           | Poryasm      |        381 |          0 |         65 |        446 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DewfordTown_House1\map.json                            | JSON         |         75 |          0 |          1 |         76 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DewfordTown_House1\scripts.inc                         | Poryasm      |         29 |          0 |          8 |         37 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DewfordTown_House2\map.json                            | JSON         |         62 |          0 |          1 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DewfordTown_House2\scripts.inc                         | Poryasm      |         48 |          0 |         10 |         58 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DewfordTown_PokemonCenter_1F\map.json                  | JSON         |         82 |          0 |          1 |         83 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DewfordTown_PokemonCenter_1F\scripts.inc               | Poryasm      |         31 |          0 |          9 |         40 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DewfordTown_PokemonCenter_2F\map.json                  | JSON         |         95 |          0 |          1 |         96 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\DewfordTown_PokemonCenter_2F\scripts.inc               | Poryasm      |         16 |          0 |          5 |         21 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity\map.json                                | JSON         |        196 |          0 |          1 |        197 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity\scripts.inc                             | Poryasm      |         28 |          0 |         10 |         38 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_ChampionsRoom\map.json                  | JSON         |         75 |          0 |          1 |         76 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_ChampionsRoom\scripts.inc               | Poryasm      |        304 |          0 |         41 |        345 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_DrakesRoom\map.json                     | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_DrakesRoom\scripts.inc                  | Poryasm      |         78 |          0 |         15 |         93 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_GlaciasRoom\map.json                    | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_GlaciasRoom\scripts.inc                 | Poryasm      |         69 |          0 |         15 |         84 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_Hall1\map.json                          | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_Hall1\scripts.inc                       | Poryasm      |          9 |          0 |          4 |         13 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_Hall2\map.json                          | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_Hall2\scripts.inc                       | Poryasm      |          9 |          0 |          4 |         13 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_Hall3\map.json                          | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_Hall3\scripts.inc                       | Poryasm      |          9 |          0 |          4 |         13 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_Hall4\map.json                          | JSON         |         35 |          0 |          1 |         36 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_Hall4\scripts.inc                       | Poryasm      |          9 |          0 |          4 |         13 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_Hall5\map.json                          | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_Hall5\scripts.inc                       | Poryasm      |          9 |          0 |          4 |         13 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_HallOfFame\map.json                     | JSON         |         42 |          0 |          1 |         43 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_HallOfFame\scripts.inc                  | Poryasm      |         87 |          0 |         13 |        100 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_PhoebesRoom\map.json                    | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_PhoebesRoom\scripts.inc                 | Poryasm      |         70 |          0 |         15 |         85 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_PokemonCenter_1F\map.json               | JSON         |         95 |          0 |          1 |         96 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_PokemonCenter_1F\scripts.inc            | Poryasm      |         87 |          0 |         16 |        103 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_PokemonCenter_2F\map.json               | JSON         |         95 |          0 |          1 |         96 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_PokemonCenter_2F\scripts.inc            | Poryasm      |         16 |          0 |          6 |         22 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_PokemonLeague_1F\map.json               | JSON         |        109 |          0 |          1 |        110 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_PokemonLeague_1F\scripts.inc            | Poryasm      |        124 |          0 |         20 |        144 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_PokemonLeague_2F\map.json               | JSON         |         95 |          0 |          1 |         96 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_PokemonLeague_2F\scripts.inc            | Poryasm      |         16 |          0 |          5 |         21 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_SidneysRoom\map.json                    | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\EverGrandeCity_SidneysRoom\scripts.inc                 | Poryasm      |         72 |          0 |         16 |         88 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown\map.json                                 | JSON         |        185 |          0 |          1 |        186 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown\scripts.inc                              | Poryasm      |         77 |          0 |         19 |         96 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_BattleTentBattleRoom\map.json            | JSON         |         60 |          0 |          1 |         61 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_BattleTentBattleRoom\scripts.inc         | Poryasm      |        212 |          0 |         31 |        243 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_BattleTentCorridor\map.json              | JSON         |         34 |          0 |          1 |         35 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_BattleTentCorridor\scripts.inc           | Poryasm      |         60 |          0 |         11 |         71 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_BattleTentLobby\map.json                 | JSON         |        110 |          0 |          1 |        111 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_BattleTentLobby\scripts.inc              | Poryasm      |        304 |          0 |         45 |        349 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_CozmosHouse\map.json                     | JSON         |         62 |          0 |          1 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_CozmosHouse\scripts.inc                  | Poryasm      |         99 |          0 |         20 |        119 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_Mart\map.json                            | JSON         |        101 |          0 |          1 |        102 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_Mart\scripts.inc                         | Poryasm      |         57 |          0 |         10 |         67 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_MoveRelearnersHouse\map.json             | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_MoveRelearnersHouse\scripts.inc          | Poryasm      |         82 |          0 |         18 |        100 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_PokemonCenter_1F\map.json                | JSON         |         95 |          0 |          1 |         96 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_PokemonCenter_1F\scripts.inc             | Poryasm      |         99 |          0 |         16 |        115 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_PokemonCenter_2F\map.json                | JSON         |         95 |          0 |          1 |         96 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FallarborTown_PokemonCenter_2F\scripts.inc             | Poryasm      |         16 |          0 |          5 |         21 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FarawayIsland_Entrance\map.json                        | JSON         |         99 |          0 |          1 |        100 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FarawayIsland_Entrance\scripts.inc                     | Poryasm      |         40 |          0 |          9 |         49 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FarawayIsland_Interior\map.json                        | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FarawayIsland_Interior\scripts.inc                     | Poryasm      |        164 |          0 |         26 |        190 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FieryPath\map.json                                     | JSON         |        140 |          0 |          1 |        141 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FieryPath\scripts.inc                                  | Poryasm      |         11 |          0 |          4 |         15 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FortreeCity\map.json                                   | JSON         |        236 |          0 |          1 |        237 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FortreeCity\scripts.inc                                | Poryasm      |        128 |          0 |         29 |        157 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FortreeCity_DecorationShop\map.json                    | JSON         |         88 |          0 |          1 |         89 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FortreeCity_DecorationShop\scripts.inc                 | Poryasm      |         63 |          0 |         10 |         73 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FortreeCity_Gym\map.json                               | JSON         |        157 |          0 |          1 |        158 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FortreeCity_Gym\scripts.inc                            | Poryasm      |        264 |          0 |         54 |        318 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FortreeCity_House1\map.json                            | JSON         |         75 |          0 |          1 |         76 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FortreeCity_House1\scripts.inc                         | Poryasm      |         84 |          0 |         15 |         99 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FortreeCity_House2\map.json                            | JSON         |         62 |          0 |          1 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FortreeCity_House2\scripts.inc                         | Poryasm      |         69 |          0 |         13 |         82 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FortreeCity_House3\map.json                            | JSON         |         62 |          0 |          1 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FortreeCity_House3\scripts.inc                         | Poryasm      |         24 |          0 |          6 |         30 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FortreeCity_House4\map.json                            | JSON         |         75 |          0 |          1 |         76 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\FortreeCity_House4\scripts.inc                         | Poryasm      |         82 |          0 |         16 |         98 |
